alert_level,h_band_0_high,h_band_0_low,h_band_0_type,h_band_0_unit,h_band_1_high,h_band_1_low,h_band_1_type,h_band_1_unit,h_band_2_high,h_band_2_low,h_band_2_type,h_band_2_unit,hs_band_0_high,hs_band_0_low,hs_band_0_type,hs_band_0_unit,hs_band_1_high,hs_band_1_low,hs_band_1_type,hs_band_1_unit,ownship_alt,ownship_gs,ownship_lat,ownship_lon,ownship_track,ownship_vs,time,traffic_alt,traffic_gs,traffic_id,traffic_lat,traffic_lon,traffic_track,traffic_vs,v_band_0_high,v_band_0_low,v_band_0_type,v_band_0_unit,v_band_1_high,v_band_1_low,v_band_1_type,v_band_1_unit,vs_band_0_high,vs_band_0_low,vs_band_0_type,vs_band_0_unit,vs_band_1_high,vs_band_1_low,vs_band_1_type,vs_band_1_unit,vs_band_2_high,vs_band_2_low,vs_band_2_type,vs_band_2_unit
Warning,360.0,0.0,RECOVERY,,,,,,,,,,700.0,10.0,RECOVERY,,,,,,5025.075042689012,118.49816097476315,44.99543448775467,45.022476282425394,6.419938708926169,1.6162616731753072,20,5017.7745960961,150.04905591056055,AC1,44.99775115023772,45.01782861721639,269.41158811472553,-2.426436219617532,50000.0,100.0,RECOVERY,,,,,,6000.0,-6000.0,RECOVERY,,,,,,,,,
Warning,360.0,0.0,RECOVERY,,,,,,,,,,700.0,10.0,RECOVERY,,,,,,4996.698948393042,120.59506962310877,44.995953210792614,45.02255524931182,8.01017801200598,6.109366968518368,21,5003.632568341527,147.92521443858507,AC1,44.997707146866915,45.01694263281741,268.92141806451593,1.4191141277468362,50000.0,100.0,RECOVERY,,,,,,6000.0,-6000.0,RECOVERY,,,,,,,,,
Warning,360.0,0.0,RECOVERY,,,,,,,,,,700.0,10.0,RECOVERY,,,,,,4991.492401737826,118.84812348422903,44.99655429906325,45.022436432318685,6.276624766149062,1.5085255639925623,22,4999.351717360921,144.79386803406217,AC1,44.99773864414981,45.0158307720219,269.00086070515266,2.833084648737149,50000.0,100.0,RECOVERY,,,,,,6000.0,-6000.0,RECOVERY,,,,,,,,,
Warning,360.0,0.0,RECOVERY,,,,,,,,,,700.0,10.0,RECOVERY,,,,,,5010.5560730216075,120.7611590045141,44.99715371653184,45.02266324755742,4.297056504674355,4.807349326179237,23,4988.816935606451,148.562746843234,AC1,44.997738405766775,45.0150082567568,268.83195486039557,3.7215512592067106,50000.0,100.0,RECOVERY,,,,,,6000.0,-6000.0,RECOVERY,,,,,,,,,
Warning,360.0,0.0,RECOVERY,,,,,,,,,,700.0,10.0,RECOVERY,,,,,,5000.715652247019,118.70487500337254,44.99761251869776,45.02257795177559,357.33467300787646,-1.0790918763638317,24,4998.140820541448,151.49369317995806,AC1,44.99773030011141,45.013952969273035,268.5773199913035,-0.2527028000053093,50000.0,100.0,RECOVERY,,,,,,6000.0,-6000.0,RECOVERY,,,,,,,,,
Warning,360.0,0.0,RECOVERY,,,,,,,,,,700.0,10.0,RECOVERY,,,,,,5006.784529601693,116.62448280562276,44.99817867707414,45.02271927934341,6.271370512145258,2.440038091050451,25,4990.926230944433,147.05903382213992,AC1,44.997705526876665,45.013029324483156,267.76091924159596,3.5957262397803107,50000.0,100.0,RECOVERY,,,,,,6000.0,-6000.0,RECOVERY,,,,,,,,,
Warning,360.0,0.0,RECOVERY,,,,,,,,,,700.0,10.0,RECOVERY,,,,,,5004.656802112264,124.07570538270936,44.99871864193505,45.022692011362146,3.6771623890847733,-2.51635642046409,26,5002.909054582184,148.32254862592052,AC1,44.9978699547803,45.01199247975503,269.6500546589226,3.623272249353474,50000.0,100.0,RECOVERY,,,,,,6000.0,-6000.0,RECOVERY,,,,,,,,,
Warning,360.0,0.0,RECOVERY,,,,,,,,,,700.0,10.0,RECOVERY,,,,,,5004.4099289357,121.22712350244572,44.999339513998436,45.02276661413783,6.1104004131926315,9.965967171885497,27,5007.671829101549,151.64987567906996,AC1,44.99782930584991,45.011056792351965,266.7099331982348,-1.0377959941322903,50000.0,100.0,RECOVERY,,,,,,6000.0,-6000.0,RECOVERY,,,,,,,,,
Warning,360.0,0.0,RECOVERY,,,,,,,,,,700.0,10.0,RECOVERY,,,,,,5004.245930113235,119.60533323572035,44.99980246593296,45.02265405765238,355.4513888658801,0.8191033420015357,28,4989.334895722409,148.65505572286486,AC1,44.99774040418388,45.009934528613776,272.0736632906312,2.3502547999659056,50000.0,100.0,RECOVERY,,,,,,6000.0,-6000.0,RECOVERY,,,,,,,,,
Warning,360.0,0.0,RECOVERY,,,,,,,,,,700.0,10.0,RECOVERY,,,,,,4991.530857196908,121.61627983927585,45.000423924339685,45.022629878791086,3.9122952357848853,0.7577142824348526,29,4984.977291898058,150.1693217288486,AC1,44.99769835393659,45.00912395780587,269.8818653291354,5.078237251269069,50000.0,100.0,RECOVERY,,,,,,6000.0,-6000.0,RECOVERY,,,,,,,,,
Warning,360.0,0.0,RECOVERY,,,,,,,,,,700.0,10.0,RECOVERY,,,,,,4996.481539762137,121.11562188839966,45.000982711707046,45.02282330109112,6.137540028237314,-6.319479340379185,30,5004.744249266602,150.43403279973975,AC1,44.99774630415593,45.00813343399199,270.13532411810104,4.410524130604726,50000.0,100.0,RECOVERY,,,,,,6000.0,-6000.0,RECOVERY,,,,,,,,,
